fov_mm,acquisition,tikhonov_nrmse,phase_inva_nrmse,pixel_nrmse,latent_nrmse
16,5,0.12196112424135208,0.12841123342514038,0.1470482349395752,0.11844215542078018
16,13,0.1233186349272728,0.11902431398630142,0.13473692536354065,0.11072235554456711
16,22,0.11576128005981445,0.11665605753660202,0.1302611380815506,0.10895679146051407
16,30,0.11415963619947433,0.10439975559711456,0.13595779240131378,0.09725748747587204
16,38,0.09931030869483948,0.0717124491930008,0.10794176161289215,0.06913869082927704
24,3,0.1471264809370041,0.16437797248363495,0.23585839569568634,0.20852671563625336
24,7,0.126043438911438,0.1318509876728058,0.20116177201271057,0.16397906839847565
24,11,0.11408411711454391,0.10563197731971741,0.1733136773109436,0.11418038606643677
24,15,0.1264670193195343,0.12345404177904129,0.17219333350658417,0.12101937085390091
24,19,0.11622609198093414,0.10110103338956833,0.1702105849981308,0.10374994575977325
